written report . ||| kursen examineras i form av en skriftlig rapport
programs that are constructed according to this view , object-oriented programs , consist of a number of co-operating parts called objects . ||| program som är uppbyggda enligt detta synsätt , s.k. objektorienterade program , består av ett antal samverkande delar som kallas objekt .
the objects encapsulate data and offer methods to read and update the data . ||| objekten kapslar in data och erbjuder metoder för att bearbeta och / eller avläsa datan .
the objects are described by so called classes . ||| objekten beskrivs av s.k. klasser .
the aim of the course is to teach the principles of the object-oriented view and how object-oriented programs are constructed . ||| kursens syfte är att lära ut grundläggande principerna och tekniker för hur man konstruerar imperativa objektorienterade program .
the java programming language is used . ||| i kursen används programspråket java .
the following items are discussed : ||| följande moment behandlas :
- basic object-oriented concepts such as classes , objects , methods and instance vairables , ||| - grundläggande objektorienterade begrepp såsom klass , objekt , metod och instansvariabel .
- inheritance , polymorphism and dynamic binding , ||| - gränssnitt , polymorfism och dynamisk bindning .
written exam . ||| skriftlig salstentamen .
basic eligibility . ||| allmän behörighet .
the course discusses basic concepts of imperative and object-oriented languages , as realized in java . ||| kursen behandlar grundläggande begrepp i imperativ och objektorienterad programmering , så som de realiseras i java .
in addition to the basic language constructs and simple guidelines for programming , the course discusses and uses a number of classes from the java standard libraries . ||| förutom de grundläggande språkkonstruktionerna och enkla riktlinjer för programutformning diskuteras och används ett antal klasser i javas standardbibliotek .
the aim is to demonstrate how this library makes it possible to write programs which , for example , ||| syftet är därvid att visa på hur detta bibliotek ger möjlighet att skriva program , som bland annat
offer graphical user interfaces , ||| erbjuder grafiska användargränssnitt .
manipulate sound and images , as examples of signal and image processing . ||| manipulerar ljud och bilder , som exempel på signal- och bildbehandling .
fetch data over the web for further processing . ||| hämtar data från webben för vidare bearbetning .
handle large sets of data , through use of library classes with efficient data structures . ||| kan hantera stora datamängder genom att använda färdiga klasser med effektiva datastrukturer .
application development targets both desktop platforms and smartphones . ||| tillämpningar utvecklas för såväl desktop-miljö som mobiltelefoner .
written exam and compulsory programming assignments . ||| skriftlig tentamen samt obligatoriska laborationer .
explain basic concepts in imperative and object-oriented programming , in particular as they are realized in the chosen programming language . ||| förklara grundläggande begrepp inom imperativ och objektorienterad programmering , speciellt som de realiseras i det programspråk som används i kursen .
describe some standard algorithms , e.g. for searching and sorting , and know how to find these in the standard libraries . ||| beskriva några standardalgoritmer , för till exempel sortering och sökning , samt veta var dessa återfinns i språkets standardbibliotek .
define classes to model simple phenomena in object-oriented style , with encapsulated data which is read and updated using public methods . ||| definiera klasser som modellerar enkla fenomen i objektorienterad anda , med inkapslade data som avläses och uppdateras via publika metoder .
define simple subroutine libraries , using the data types and control structures of the chosen language . ||| definiera enkla subrutinbibliotek med utnyttjande av det använda programspråkets datatyper och styrstrukturer .
